job_position,job_link,company_name,job_location,job_title,about,broad_field,skills_filled,experience_filled,cluster
Shopify Developer,https://in.linkedin.com/jobs/view/shopify-developer-at-infosys-4272764580?position=1&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=7K3EXK5HUQjcs7WCpd1TUA%3D%3D,Infosys,"Bengaluru East, Karnataka, India",,Technology->Digital Commerce->E-Commerce Platforms->ShopifyKnowledge of design principles and fundamentals of architecture Understanding of performance engineering Knowledge of quality processes and estimation techniques Basic understanding of project domain Ability to translate functional / nonfunctional requirements to systems requirements Ability to design and code complex programs Ability to write test cases and scenarios based on the specifications Good understanding of SDLC and agile methodologies Awareness of latest technologies and trends Logical thinking and problem-solving skills along with an ability to collaborate,App_Developer,"['specifications', 'design', 'engineering', 'agile', 'sdlc', 'test cases', 'architecture', 'e-commerce']",['Digital Commerce- > E-Commerce Platforms- > ShopifyKnowledge'],11
Interesting Job Opportunity: Gameberry Labs - Software Development Engineer I - Java/Golang,https://in.linkedin.com/jobs/view/interesting-job-opportunity-gameberry-labs-software-development-engineer-i-java-golang-at-gameberry-labs-4252742161?position=2&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=XYpxCwjVMSbG2gLc3uUukg%3D%3D,Gameberry Labs,"Bengaluru, Karnataka, India",,"Who We AreGameberry Labs, a thriving mobile games studio established in 2017 and headquartered in Bangalore, has aimed for an extraordinary vision - to become the premier game development company on a global scale. As a bootstrapped and profitable startup, Gameberry Labs has taken the mobile gaming scene by storm. Since our inception in 2017, our games 'Ludo STAR' and 'Parchisi STAR' have captivated players around the globe, resulting in an impressive 250M+ downloads.Our BeliefOur profound belief in the transformative ability of mobile games lies in their power to reshape modern connections, entertainment, and learning experiences. We see them as personal buddies that boost our brains, melt away stress, and keep spirits high anytime, anywhere.Our MissionWe want to make millions of people happy with games that they would love to grow old with. We are driven by a passion for creating exceptional gaming experiences that people will cherish for years to come. With our fearless team of dreamers and innovators, we are constantly pushing the boundaries of what's possible in the world of mobile gaming.Highlight Reel We've rocked an impressive 250M+ game downloads. We have made $150M+ in lifetime revenue from our games. Both 'Parchisi STAR' and 'Ludo STAR' have hit 100M+ downloads individually. We were on the list of Top 10 India HQ Games Publishers in 2021. We have handled more than 1M+ concurrent users playing our game in 2020.Cool Tidbits Our games attract a monthly player base equivalent to the population of Australia, with over 20M players engaging each month. Players spend an astronomical 297.6 Mars Round Trips worth of time on our games daily.As a Software Engineer, we expect you to be motivated to solve real-life complex problems and create compelling experiences for our Players.Responsibilities Collaborate with product managers and other developers to understand requirements and translate them into code. Write clean, modular, and well-documented code. Implement gameplay mechanics, user interfaces, and game features according to design specifications. Stay current with the latest industry trends, technologies, and best practices in game development. Participate in code reviews to provide and receive constructive feedback on code quality and design. Contribute to the continuous improvement of development processes and tools. Collaborate with QA teams to ensure the delivery of bug-free and high-quality software.Requirements Strong programming skills in one or more programming languages such as C++, C#, Java, Python,or Golang, focusing on object-oriented design and development. Solid understanding of data structures, algorithms, and software engineering principles. Experience with game development frameworks and engines (e.g., Unity, Unreal Engine, Cocos) is a plus. Knowledge of software development practices like version control, testing, and debugging. Ability to work collaboratively in a team-first environment and effectively communicate technical ideas. Strong problem-solving skills and a passion for creating engaging gaming experiences. Openness to learning new technologies and adapting to a fast-paced, startup environment.Your Adventure At Gameberry LabsAt Gameberry Labs, we're all about riding the wave of new trends and tech and building the best possible player experience that shapes the gaming universe. We strive to be at the forefront of casual game entertainment.When you join us, you're stepping into a place where your ideas count and your impact matters.We offer an autonomous studio setup that fosters fast decision-making, empowering you to make a significant impact and accelerate your professional growth.Why Choose Us Freedom to be you. Get in on a seriously competitive salary. Hungry? Enjoy free daily lunches. We've got your back with company-paid health insurance. Team fun? It's our thing! Opportunity knocks with limitless growth potential. We're making a global splash. Your playground: a studio that owns the P&L of its creations. Inspiring, down-to-earth teams are our secret sauce. Dive into challenges, learning, and growth at warp speed. We want to take India to the ""Top 10 Gaming Studios"" list worldwide.Ready to embark on this thrilling quest? Join us, and let's create gaming history, one pixel at a time.(ref:hirist.tech)",App_Developer,"['mobile', 'p', 'startup', 'specifications', 'improvement', 'testing', 'industry trends', 'engineering', 'debugging', 'software engineering', 'continuous improvement', 'algorithms', 'programming', 'c++', 'health', 'c', 'design', 'technical', 'java', 'python']","['Collaborate QA', 'monthly', 'Opportunity knock', '2017', 'each month', 'AreGameberry Labs', 'Adventure Gameberry LabsAt Gameberry Labs', 'Golang', 'Unreal Engine', ""'Ludo STAR"", 'C++, C', 'Mars Round Trips', 'Gameberry Labs', 'India HQ Games Publishers', 'Software Engineer', 'Choose Us Freedom']",7
Junior Web Developer,https://in.linkedin.com/jobs/view/junior-web-developer-at-synergos-4048224832?position=3&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=BMGlB5VagPu1zYBqbq8yqg%3D%3D,SYNERGOS,"Bengaluru, Karnataka, India",,"Junior Web Developer 3 years of experience Job Description The role is responsible for designing, coding and modifying websites, from layout to function and according to a client's specifications. Strive to create visually appealing sites that feature user-friendly design and clear navigation.Job Duties: Regular exposure to business stakeholders and executive management, as well as the authority and scope to apply your expertise to many interesting technical problems.Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standardsThe position requires constant communication with colleagues.Experience in planning and delivering software platforms used across multiple products and organizational units.Experience with Web Applications and programming languages such as HTML, CSS, JavaScript, JQuery and API's.Design experience with Web Services (REST, SOAP, etc.) is needed to be successful in this position.Skills and Qualifications JavaScript, JQuery, HTML, HTML5, CSS, CSS3, Web Programming Skills, E-Commerce, Teamwork, Verbal Communication, cross-browser compatibility, Web User Interface Design (UI), Security Principles, Object-Oriented Design, Web Services (REST/SOAP), Multimedia Content Development, API's",App_Developer,"['javascript', 'specifications', 'communication', 'html', 'ui', 'content', 'programming', 'rest', 'html5', 'coding', 'web services', 'design', 'security', 'api', 'soap', 'technical', 'css', 'e-commerce', 'business stakeholders']","['Verbal Communication', '3 years of experience Job Description The role is responsible for designing', 'Qualifications JavaScript', 'Web User Interface Design', 'Multimedia Content Development', 'JavaScript', 'Web Programming Skills', 'Security Principles', '3 years', 'Web Services', 'Web Applications', 'Junior Web Developer', 'Job Description', 'HTML', 'JQuery', ""JQuery API's.Design"", 'Object-Oriented Design']",3
Java Developer,https://in.linkedin.com/jobs/view/java-developer-at-infosys-4273034084?position=4&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=iffcwNDjfIdQ28P5Mn58gw%3D%3D,Infosys,"Bengaluru East, Karnataka, India",,"Primary skills:Technology->Database->SQL tuning,Technology->Java->Core Java,Technology->Java->Java - ALL,Technology->Java->Spring MVC,Technology->Java->SpringbootA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of more than one technology Basics of Architecture and Design fundamentals Knowledge of Testing tools Knowledge of agile methodologies Understanding of Project life cycle activities on development and maintenance projects Understanding of one or more Estimation methodologies, Knowledge of Quality processes Basics of business domain to understand the business requirements Analytical abilities, Strong Technical Skills, Good communication skills Good understanding of the technology and domain Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods Awareness of latest technologies and trends Excellent problem solving, analytical and debugging skills",App_Developer,"['life cycle', 'sql', 'testing', 'design', 'plan', 'architecture', 'communication', 'agile', 'debugging', 'technical', 'quality assurance', 'technical skills', 'analytical', 'java']","['Understanding Project', 'SOLID', 'Technology- > Java- > Core Java', 'Database- > SQL', 'Infoscion', 'Strong Technical Skills', 'Java- > Spring MVC', 'Technology- > Java- > SpringbootA', 'Knowledge Quality', 'Basics Architecture Design', 'Infosys', 'Knowledge Testing', 'Technology- > Java- > Java']",7
Java Developer,https://in.linkedin.com/jobs/view/java-developer-at-infosys-4257976105?position=5&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=55kl0je3cahOSrJ84xlSNQ%3D%3D,Infosys,"Bengaluru East, Karnataka, India",,"Primary skills:Technology->Java->Java - ALLA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our clients are satisfied with the high levels of service in the technology domain. You will gather the requirements and specifications to understand the client requirements in a detailed manner and translate the same into system requirements. You will play a key role in the overall estimation of work requirements to provide the right information on project estimations to Technology Leads and Project Managers. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of design principles and fundamentals of architecture Understanding of performance engineering Knowledge of quality processes and estimation techniques Basic understanding of project domain Ability to translate functional / nonfunctional requirements to systems requirements Ability to design and code complex programs Ability to write test cases and scenarios based on the specifications Good understanding of SDLC and agile methodologies Awareness of latest technologies and trends Logical thinking and problem solving skills along with an ability to collaborate",App_Developer,"['specifications', 'design', 'architecture', 'engineering', 'agile', 'system', 'sdlc', 'test cases', 'java']","['Technology Leads Project Managers', 'Infoscion', 'Validation Support', 'Infosys', 'Design, Development, Validation and Support', 'Java- > Java']",11
Java Developer,https://in.linkedin.com/jobs/view/java-developer-at-infosys-4262189011?position=6&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=g7yj1mbYMrqdIO1NXUHEnQ%3D%3D,Infosys,"Bengaluru East, Karnataka, India",,"Primary skills:Technology->Cloud Platform->Microservices,Technology->Java->Core Java,Technology->Java->Java - ALL,Technology->Java->Java Documentation,Technology->Java->SpringbootA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of more than one technology Basics of Architecture and Design fundamentals Knowledge of Testing tools Knowledge of agile methodologies Understanding of Project life cycle activities on development and maintenance projects Understanding of one or more Estimation methodologies, Knowledge of Quality processes Basics of business domain to understand the business requirements Analytical abilities, Strong Technical Skills, Good communication skills Good understanding of the technology and domain Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods Awareness of latest technologies and trends Excellent problem solving, analytical and debugging skills",App_Developer,"['life cycle', 'testing', 'design', 'plan', 'architecture', 'communication', 'agile', 'debugging', 'technical', 'quality assurance', 'technical skills', 'analytical', 'cloud', 'documentation', 'java']","['Understanding Project', 'SOLID', 'Technology- > Java- > Core Java', 'Infoscion', 'Strong Technical Skills', 'Knowledge Testing', 'Technology- > Java- > SpringbootA', 'Knowledge Quality', 'Java- > Java Documentation', 'Basics Architecture Design', 'Infosys', 'Cloud Platform- > Microservices', 'Technology- > Java- > Java']",7
Full Stack Developer,https://in.linkedin.com/jobs/view/full-stack-developer-at-persistent-systems-4205909192?position=7&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=bZjvDi95hy155YF7QK3m6g%3D%3D,Persistent Systems,"Bengaluru, Karnataka, India",,"About PersistentWe are an AI-led, platform-driven Digital Engineering and Enterprise Modernization partner, combining deep technical expertise and industry experience to help our clients anticipate what’s next. Our offerings and proven solutions create a unique competitive advantage for our clients by giving them the power to see beyond and rise above. We work with many industry-leading organizations across the world, including 12 of the 30 most innovative global companies, 60% of the largest banks in the US and India, and numerous innovators across the healthcare ecosystem.Our disruptor’s mindset, commitment to client success, and agility to thrive in the dynamic environment have enabled us to sustain our growth momentum by reporting $1,409.1M revenue in FY25, delivering 18.8% Y-o-Y growth. Our 23,900+ global team members, located in 19 countries, have been instrumental in helping the market leaders transform their industries. We are also pleased to share that Persistent won in four categories at the prestigious 2024 ISG Star of Excellence™ Awards , including the Overall Award based on the voice of the customer. We were included in the Dow Jones Sustainability World Index, setting high standards in sustainability and corporate responsibility. We were awarded for our state-of-the-art learning and development initiatives at the 16 th TISS LeapVault CLO Awards. In addition, we were cited as the fastest-growing IT services brand in the 2024 Brand Finance India 100 Report. Throughout our market-leading growth, we’ve maintained a strong employee satisfaction score of 8.2/10.At Persistent, we embrace diversity to unlock everyone's potential. Our programs empower our workforce by harnessing varied backgrounds for creative, innovative problem-solving. Our inclusive environment fosters belonging, encouraging employees to unleash their full potential.For more details please login to www.persistent.comAbout The PositionWe are looking for a Full Stack Developer who is a skilled professional with exposure to cloud platforms, DevOps, and data visualization, preferably with networking domain (Cisco) product exposure. You will collaborate with internal teams to design, develop, deploy, and maintain software applications at scale.To succeed as a Full Stack Developer, you will be required to ensure the timely completion and approvals of project deliverables. You will also be expected to recommend new technologies and techniques for application development. What You?ll Do  Design, develop, deploy, and maintain software applications at scale using Java / J2EE, JavaScript frameworks (Angular or React) and associated technologies  Deploy software using CI / CD tools such as Jenkins  Understand the technologies implemented, and interface with the project manager on status and technical issues  Solve and articulate simple and complex problems with application design, development, and user experiences  Collaborate with other developers and designers, as well as assist with technical matters when required  Expertise You?ll Bring  Experience: Proven ability in Java / j2ee, Spring, Python, Docker, Kubernetes, and Microservices  Knowledge in the distributed technologies below will give you an added advantage  Apache Spark  MapReduce Principles  Kafka (MSK)  Apache Hadoop (AWS EMR) Benefits Competitive salary and benefits package  Culture focused on talent development with quarterly promotion cycles and company-sponsored higher education and certifications  Opportunity to work with cutting-edge technologies  Employee engagement initiatives such as project parties, flexible work hours, and Long Service awards  Annual health check-ups  Insurance coverage : group term life , personal accident, and Mediclaim hospitalization for self, spouse, two children, and parents Persistent Ltd. is dedicated to fostering diversity and inclusion in the workplace. We invite applications from all qualified individuals, including those with disabilities, and regardless of gender or gender preference. We welcome diverse candidates from all backgrounds.Inclusive EnvironmentWe offer hybrid work options and flexible working hours to accommodate various needs and preferences.Our office is equipped with accessible facilities, including adjustable workstations, ergonomic chairs, and assistive technologies to support employees with physical disabilities.If you are a person with disabilities and have specific requirements, please inform us during the application process or at any time during your employment. We are committed to creating an inclusive environment where all employees can thrive.Our company fosters a values-driven and people-centric work environment that enables our employees to:Accelerate growth, both professionally and personallyImpact the world in powerful, positive ways, using the latest technologiesEnjoy collaborative innovation, with diversity and work-life wellbeing at the coreUnlock global opportunities to work and learn with the industry’s best Let’s unleash your full potential at Persistent -  persistent.com/careers",App_Developer,"['employee engagement', 'cisco', 'dynamic environment', 'hadoop', 'javascript', 'cloud', 'engagement', 'finance', 'aws', 'engineering', 'reporting', 'industry experience', 'health', 'brand', 'design', 'spark', 'higher education', 'healthcare', 'process', 'technical issues', 'technical', 'networking', 'docker', 'java', 'python']","['Java /', 'CI / CD', 'Overall Award', '2024', 'Apache Hadoop', 'Let ’', 'Angular React', 'Collaborate', 'Dow Jones Sustainability World Index', 'AWS EMR', 'Brand Finance India', 'Apache Spark MapReduce Principles Kafka', 'Persistent Ltd.', 'PositionWe', 'Jenkins Understand', 'ISG Star Excellence™ Awards', 'Digital Engineering Enterprise Modernization', 'JavaScript', 'Benefits Competitive', 'TISS LeapVault CLO Awards', 'Java / J2EE', 'Microservices Knowledge', 'Long Service', 'the Overall Award', 'Full Stack Developer']",7
Java Developer,https://in.linkedin.com/jobs/view/java-developer-at-infosys-4283309046?position=8&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=TssPopst9VcndwM0awX97w%3D%3D,Infosys,"Bengaluru East, Karnataka, India",,"Java, Springboot, Angular, ReactA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you!",App_Developer,"['plan', 'architecture', 'quality assurance', 'technical', 'java']","['Infosys', 'Infoscion']",7
Junior Web Developer,https://in.linkedin.com/jobs/view/junior-web-developer-at-heycoach-3946490799?position=9&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=6pNrGu93XZQk0IdBGLUFaQ%3D%3D,HeyCoach,"Bengaluru, Karnataka, India",,"ResponsibilitiesWork with development teams and product managers to ideate software solutions. Develop and maintain scalable software solutions with Ruby on Rails as the core technology stack.Develop strong analytical and problem-solving skills to tackle challenges in development. Utilize Docker containers for efficient environment management and deployment.Test software to ensure responsiveness and efficiency. Implement and maintain database solutions in MySQL and PostgreSQLTest and ensure that the application works correctly across different browsers and devices. Build and optimize user interfaces using React.js with a focus on performance and user experience.Integrate multiple data sources and databases into one systemEnsure robustness, performance, and security of the applications.Take full responsibility for project deliverables from conception to deployment.Design user-side and server-side architecture. Maintain code integrity and organization, including performing code reviews and enhancing code quality.RequirementsDemonstrable skills with Node.js and React.js, building and maintaining complex solutions.Experience with Docker and containerized environments.Strong knowledge of MySQL and/or PostgreSQL.Excellent debugging and problem-solving skills.Capacity to work effectively both as an individual contributor and within a collaborative team environment.Eagerness to take full ownership of deliverables, ensuring high-quality outputs.Great attention to detail Organizational skills. QualificationsInternship or 6 months experience as a full stack developer working with ruby on rails.Experience developing and deploying dynamic and responsive web applications.Strong communication skills, detail-oriented mindset, and a passion for delivering high-quality software. A bright and passionate mind with relevant prior experience in web development (frontend, backend and database management) is welcome to apply. Ability to thrive in a fast-paced work environment, adapting to varying demands with resilience.Skills:- Ruby on Rails (ROR), React.js, NodeJS (Node.js), MySQL and PostgreSQL",App_Developer,"['ruby', 'security', 'communication', 'debugging', 'database', 'ruby on rails', 'analytical', 'docker', 'mysql', 'architecture', 'postgresql']","['MySQL PostgreSQL', 'Ruby on Rails', 'Node.js React.js', 'MySQL PostgreSQLTest', 'Ruby Rails', '6 months']",3
Java Developer,https://in.linkedin.com/jobs/view/java-developer-at-infosys-4274014257?position=10&pageNum=0&refId=%2BQORexgpoD%2BSb3zAsqQy0w%3D%3D&trackingId=mfbwlXes%2Bb%2FyKmlB0M1bdw%3D%3D,Infosys,"Bengaluru East, Karnataka, India",,"Primary skills:Technology->Java->Core Java,Technology->Java->Springboot,Technology->Microservices->Microservices API ManagementA day in the life of an Infoscion As part of the Infosys delivery team, your primary role would be to interface with the client for quality assurance, issue resolution and ensuring high customer satisfaction. You will understand requirements, create and review designs, validate the architecture and ensure high levels of service offerings to clients in the technology domain. You will participate in project estimation, provide inputs for solution delivery, conduct technical risk planning, perform code reviews and unit test plan reviews. You will lead and guide your teams towards developing optimized high quality code deliverables, continual knowledge management and adherence to the organizational guidelines and processes. You would be a key contributor to building efficient programs/ systems and if you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! If you think you fit right in to help our clients navigate their next in their digital transformation journey, this is the place for you! Knowledge of more than one technology Basics of Architecture and Design fundamentals Knowledge of Testing tools Knowledge of agile methodologies Understanding of Project life cycle activities on development and maintenance projects Understanding of one or more Estimation methodologies, Knowledge of Quality processes Basics of business domain to understand the business requirements Analytical abilities, Strong Technical Skills, Good communication skills Good understanding of the technology and domain Ability to demonstrate a sound understanding of software quality assurance principles, SOLID design principles and modelling methods Awareness of latest technologies and trends Excellent problem solving, analytical and debugging skills",App_Developer,"['life cycle', 'testing', 'java', 'design', 'plan', 'api', 'communication', 'agile', 'debugging', 'technical', 'quality assurance', 'technical skills', 'analytical', 'architecture']","['Technology- > Microservices- > Microservices API ManagementA', 'Understanding Project', 'SOLID', 'Technology- > Java- > Springboot', 'Infoscion', 'Strong Technical Skills', 'Java- > Core Java', 'Basics Architecture Design', 'Infosys', 'Knowledge Testing', 'Knowledge Quality']",7
