JobTitle,About,Skills,WhoCanApply,OtherReq,Salary
Senior Accountant,"Key Responsibilities:

1. Manage day-to-day accounting transactions using Tally (Advanced level)
2. Prepare and maintain financial reports, ledgers, and reconciliations
3. Handle GST, TDS, invoice processing, and compliance filings
4. Utilize Advanced Excel functions (e.g., VLOOKUP, HLOOKUP, Pivot Tables, Macros, Data Validation) for data analysis and reporting
5. Assist in the finalization of accounts and audit preparations
6. Support budgeting, forecasting, and variance analysis
7. Coordinate with banks, auditors and internal teams for smooth financial operations","Accounting
Advanced Excel
Auditing
Bank Reconciliation
Effective Communication
English Proficiency (Spoken)
Financial Analysis
Financial Modeling
Financial Reporting
Multitasking
Tally
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Financial Modeling
Learn Tally","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Bhopal only",1. B.com graduate with accountancy,"Annual CTC: ₹ 3,00,000 - 4,20,000 /year"
Event Management Associate - Fresher,"Key Responsibilities:

1. Coordinate and execute various events and promotional activities to enhance brand visibility and engage with customers including stalls at birthday parties
2. Utilize strong knowledge of MS Excel, event management skills, and proficiency in spoken and written English to plan and execute successful events
3. Build and maintain relationships with vendors, sponsors, and other stakeholders to ensure seamless event operations
4. Take up additional responsibilities on non-event days as required

If you are a dynamic and organized individual with a passion for event management and a keen eye for detail, we invite you to join our team at Kilkaari Kidswear and help us create memorable experiences for our customers.","English Proficiency (Spoken)
English Proficiency (Written)
Event Management
Interpersonal skills
MS-Excel
Planning
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Interpersonal skills
Learn MS-Excel
Learn Networking","Only those candidates can apply who:

1. are from Mumbai only","1. Have a working laptop

2. Ready to work post office hours","Annual CTC: ₹ 2,00,000 - 2,20,000 /year

Perks
Informal dress code"
Operations - Fresher,"As a fleet manager - Apprentice at Trinity Packaging Co. Pvt. Ltd., you will have the opportunity to hone your skills in logistics management, report generation, and document management while working closely with our fleet team. We are looking for a candidate who is proficient in Google Sheets, has excellent communication skills, and is detail-oriented.

Key Responsibilities:

1. Assist in managing the day-to-day operations of the company's fleet vehicles
2. Coordinate with drivers and logistics team to ensure efficient delivery schedules
3. Use MIS systems to track vehicle maintenance schedules and monitor fuel consumption
4. Generate reports on fleet performance, including fuel efficiency and maintenance costs
5. Maintain accurate records of vehicle inspections, registrations, and insurance documents
6. Collaborate with the procurement team to ensure timely vehicle repairs and replacements
7. Implement cost-saving strategies and suggest improvements to enhance overall fleet efficiency

If you are a motivated and organized individual with a passion for logistics and fleet management, we want to hear from you! Join our team at Trinity Packaging Co. Pvt. Ltd. and jumpstart your career in the exciting world of logistics.","Document Management
Effective Communication
Google Sheets
Logistics Management
MIS
Report Generation
Earn certifications in these skills
Learn Effective Communication
Learn MS-Excel
Learn Business Communication","Only those candidates can apply who:

1. are from Virar only","1. Diploma or graduate (mechanical, automobile, logistics, BBA preferred)

2. Familiarity with fleet operations and RTO norms preferred

3. Open to field coordination if required","Annual CTC: ₹ 2,00,000 - 2,40,000 /year"
E-commerce Specialist,"Key responsibilities:

1. Manage product listings, pricing, and inventory on platforms like Amazon, Flipkart, and the company website.
2. Monitor sales performance and implement strategies to boost revenue.
3. Coordinate digital marketing efforts (SEO, SEM, paid campaigns, email).
4. Oversee order processing, customer service, and returns.
5. Conduct market research and competitor analysis for strategic improvements.
6. Plan and execute promotions during sales events and launches","Analytical Thinking
Business Research
E-commerce
Effective Communication
Marketing
MS-Excel
Search Engine Marketing (SEM)
Search Engine Optimization (SEO)
Earn certifications in these skills
Learn Effective Communication
Learn Email Marketing
Learn Facebook Marketing
Learn Google AdWords
Learn MS-Excel
Learn Problem Solving
Learn Search Engine Marketing
Learn SEO
Learn Social Media Marketing","Only those candidates can apply who:

1. have minimum 1 years of experience

2. are from Mumbai only","1. Bachelor’s degree in Marketing, Business, or a related field.

2. Experience with e-commerce platforms (Amazon, Flipkart, Shopify, etc.).

3. Female candidates preferred","Annual CTC: ₹ 3,60,000 - 4,20,000 /year

Perks
5 days a week"
Video Editor - Fresher,"Key Responsibilities:

1. Edit raw footage into polished, high-quality reels.
2. Add music, transitions, effects, and captions to enhance video quality.
3. Ensure videos align with brand guidelines and platform trends.
4. Deliver projects within agreed timelines.",NULL,NULL,"1. Proven experience in editing short-form content (reels/shorts).

2. Strong portfolio showcasing previous work.","Annual CTC: ₹ 3,00,000 - 6,00,000 /year"
Business Development Specialist,"Key Responsibilities:

1. Developing long-term sales strategies
2. Identifying new markets, segments, and partnerships
3. Building key customer relationships (distributors, dealers, retailers)
4. Driving growth beyond regular sales targets
5. Coordinating with marketing for brand positioning and promotions","Business Analysis
Business Development
Business Research
English Proficiency (Spoken)
MS-Excel
Earn certifications in these skills
Learn Business Communication
Learn MS-Excel
Learn Business Analytics
Learn Digital Marketing","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Good communication skills

2. Ability to work unsupervised

3. Speak English & Hindi

4. Sales background

5. Interest in growing within the organization

6. Interest in developing skills","Annual CTC: ₹ 4,00,000 - 4,75,000 /year

Annual CTC breakup:

1. Fixed pay: ₹ 2,50,000 - 2,75,000 /year

2. Variable pay: ₹ 1,50,000 - 2,00,000 /year

Perks
5 days a week"
Customer Service Executive,"We are looking for dynamic, smart and customer-oriented customer service executives to join our remote team. As a customer service executive, you will be responsible for providing exceptional service to our customers through various channels such as phone, email, and chat and also help with backend operational work as required.

Key Responsibilities:

1. Respond to customer inquiries and resolve issues in a timely and professional manner as per SLA - through WhatsApp, email, tickets and calls.
2. Onboard new clients on our portal as per company SOPs.
3. Perform daily operational activities in the CRM system.
4. Conduct outbound calls as needed by your specific role.
5. Assist with other tasks/duties as required by your position (as per guidance from your manager).

If you have a passion for customer service, excellent communication skills, and a strong understanding of e-commerce, logistics and hands-on experience in Excel & typing - we would love to hear from you.","Customer Support
E-commerce
Effective Communication
English Proficiency (Spoken)
English Proficiency (Written)
Hindi Proficiency (Spoken)
MS-Excel
MS-Office
Typing
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn MS-Excel","Only those candidates can apply who:

1. have minimum 1 years of experience","1. Ideal candidate should be proficient in spoken English & Hindi and have good written English skills.

2. Any prior experience in the e-commerce or logistics industry is a huge plus.

3. The candidate should have a laptop with a good internet connection to work remotely.

4. This is a WFH opportunity - 6 days per week from 10 am to 7 pm.","Annual CTC: ₹ 2,00,000 - 2,16,000 /year"
Content & E-commerce Management Associate - Fresher (Female) - Fresher,"Key Responsibilities:

1. Communicate with the client and vendors
2. Create relationships with the merchandisers
3. Manage backend operations on each website and offline store on behalf of the clients
4. Track and manage reports and weekly trends in the industry
5. Onboard your client's products on as many stores and websites as possible
6. Coordinate with various departments of the company
7. Analyze brand performance in various retail outlets
8. Assist in product catalog management including adding new products and updating product descriptions, images, and prices
9. Monitor product availability and stock levels, coordinating with relevant departments to ensure accurate inventory
10. Collaborate with the fulfillment team to ensure accurate and timely order processing
11. Support the creation and optimization of product listings, ensuring accurate and compelling content
12. Assist in maintaining consistent branding and product presentation across the online store
13. Research websites and stores on a weekly basis",NULL,NULL,1. Females preferred,"Annual CTC: ₹ 2,00,000 - 3,00,000 /year"
Business Development Associate - Fresher,"Key Responsibilities:

1. Engage with parents or adult learners and invite them to personalized 1:1 video counseling sessions.
2. Conduct impactful counseling sessions, resolve queries, and guide decision-makers toward enrolling in PlanetSpark's transformative programs.
3. Manage the complete sales funnel from first interaction to final conversion with persistence, empathy, and precision.

Why choose sales at PlanetSpark?

1. Zero cold calling, only warm leads - Work with prospects who have already attended a demo class and shown genuine interest.
2. Best-in-class training - Learn from sales champions through live workshops, real-time mentoring, and practical exercises.
3. Rapid career progression - Experience fast-track promotions and significant performance-driven pay hikes.
4. Celebrate success - Weekly recognition programs highlight top performers and put your achievements in the spotlight.
5. Unlimited earning potential - Attractive, uncapped incentives on top of your salary.",NULL,NULL,NULL,".
Skill(s) required
Business Development
Effective Communication
Inside Sales
Sales
Earn certifications in these skills
Learn Effective Communication
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics
Salary

Annual CTC: ₹ 6,50,000 - 7,50,000 /year

Perks
Informal dress code
5 days a week"
Solar Panels Sales Head,"Key responsibilities:

1. Developing and implementing sales plans
2. Managing the sales team
3. Maintaining strong client relationships
4. Analyzing market trends
5. Developing and executing sales strategies to expand the solar business in residential, commercial, and industrial segments.
6. Identifying new market opportunities and driving business development initiatives.
7. Building and maintaining strong client relationships through consultative selling.","Client Relationship Management (CRM)
Customer Support
Sales Management
Sales Strategy
Sales Support
Earn certifications in these skills
Learn Business Communication
Learn Digital Marketing
Learn Business Analytics","Only those candidates can apply who:

1. have minimum 1 years of experience","1. This role is ideal for someone with a technical background and an interest in marketing

2. The job requires candidates who are fluent in Telugu, English, and Hindi

3. Candidates should hold at least a bachelor’s degree, with a master’s degree being preferred","Annual CTC: ₹ 10,00,000 - 12,00,000 /year

Perks
Health Insurance"
